timeStart,timeEnd,condition,gender,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
2017-06-16 11:11:17,2017-06-16 11:18:36,B,F,5,4,4,1,4,1,4,5,2,3
2017-06-16 15:35:42,2017-06-16 15:41:27,A,M,2,4,3,1,3,1,5,3,2,3
2017-06-17 15:26:34,2017-06-17 15:33:56,C,M,5,5,2,1,1,1,2,2,3,5
2017-06-17 14:45:32,2017-06-17 15:01:30,B,M,4,3,4,2,2,1,4,5,3,3
2017-06-16 11:44:33,2017-06-16 11:56:44,C,M,3,1,3,5,4,1,3,3,4,3
2017-06-17 13:27:44,2017-06-17 13:34:28,B,F,4,3,2,3,3,1,1,2,5,4
2017-07-14 6:26:56,2017-07-14 06:39:30,A,F,2,4,1,3,5,1,2,3,3,4
2017-08-19 12:48:58,2017-08-19 13:09:31,C,M,4,2,5,1,5,1,5,1,2,2
2017-08-10 16:23:32,2017-08-10 16:39:21,A,M,2,5,3,4,4,1,3,1,1,3
2017-08-13 5:58:55,2017-08-13 06:07:17,C,F,3,4,2,4,1,1,1,5,3,3
2017-08-26 13:35:45,2017-08-26 13:48:46,C,F,5,2,3,1,1,1,2,4,4,4
2017-08-29 12:36:59,2017-08-29 12:43:39,B,F,3,1,3,5,2,1,5,4,2,2
2017-08-10 12:52:21,2017-08-10 13:02:41,B,M,5,5,2,3,2,1,5,1,4,2
2017-08-25 15:56:14,2017-08-25 16:04:39,C,M,1,3,5,4,4,1,2,2,4,3
2017-07-19 4:35:57,2017-07-19 04:48:11,C,F,4,1,5,1,5,1,4,4,1,1
2017-08-13 8:35:58,2017-08-13 08:48:28,C,F,1,3,2,4,1,3,4,3,4,2
2017-08-24 8:45:43,2017-08-24 08:59:24,B,M,2,5,4,3,2,1,2,4,2,4
2017-08-12 8:58:38,2017-08-12 09:07:20,A,M,4,4,1,3,1,1,5,3,5,2
2017-07-26 17:59:40,2017-07-26 18:16:45,B,M,2,3,1,1,2,1,5,5,3,4
2017-08-20 12:16:31,2017-08-20 12:23:23,C,M,3,1,2,2,5,1,4,2,4,1
2017-07-12 4:51:19,2017-07-12 05:04:25,B,F,3,4,3,3,1,1,1,3,2,5
2017-07-20 7:21:37,2017-07-20 07:37:55,B,F,3,1,1,2,3,1,4,1,3,5
2017-08-29 14:39:59,2017-08-29 14:57:30,B,F,5,4,4,2,1,1,2,5,2,4
2017-08-29 17:33:19,2017-08-29 17:52:06,A,F,5,2,1,2,2,4,4,3,1,3
2017-08-20 21:19:51,2017-08-20 21:32:30,C,F,3,3,1,4,1,1,1,2,3,3
2017-07-17 14:32:49,2017-07-17 14:52:39,C,F,5,1,3,4,1,1,2,1,3,5
2017-07-26 20:49:41,2017-07-26 21:04:42,B,M,2,4,5,4,4,1,2,2,3,5
2017-07-16 5:14:24,2017-07-16 05:23:59,B,F,2,4,5,5,3,1,3,3,4,1
2017-07-26 11:19:30,2017-07-26 11:39:18,B,F,5,5,3,2,2,1,2,1,3,1
2017-07-14 9:27:34,2017-07-14 09:38:31,B,M,1,4,2,4,4,1,5,4,3,4
2017-07-23 17:47:31,2017-07-23 18:02:06,B,M,4,1,4,5,5,1,4,4,5,4
2017-08-30 14:53:54,2017-08-30 15:04:45,A,M,3,4,3,2,5,1,3,1,1,2
2017-07-15 7:42:10,2017-07-15 07:54:05,C,F,3,5,5,5,1,5,4,2,2,1
2017-08-24 17:46:39,2017-08-24 17:56:09,A,M,3,1,5,5,4,1,5,3,5,4
2017-07-26 8:53:19,2017-07-26 09:05:49,C,M,3,1,2,4,1,1,5,1,3,5
2017-08-12 17:15:17,2017-08-12 17:25:16,C,F,3,3,1,1,5,1,5,1,1,1
2017-08-17 12:21:55,2017-08-17 12:28:57,C,F,4,2,2,5,5,1,4,1,4,2
2017-08-16 18:38:30,2017-08-16 18:51:40,B,F,1,3,3,5,2,1,2,2,5,2
2017-07-22 12:22:29,2017-07-22 12:27:57,B,F,5,4,3,3,5,1,2,5,2,3
2017-07-28 12:26:35,2017-07-28 12:42:38,A,F,5,1,5,2,4,1,4,4,2,2
2017-07-17 10:44:38,2017-07-17 10:54:48,B,F,3,3,4,1,4,1,5,4,1,5
2017-07-12 3:22:10,2017-07-12 03:36:16,A,F,5,4,1,1,4,1,1,1,2,4
2017-07-27 5:25:58,2017-07-27 05:34:29,B,F,4,5,3,2,4,1,5,3,1,1
2017-07-15 8:18:47,2017-07-15 08:36:38,C,M,4,1,3,1,4,1,1,1,2,3
2017-08-30 14:12:27,2017-08-30 14:20:46,C,F,5,3,3,5,1,1,5,5,2,4
2017-08-19 23:58:50,2017-08-20 00:05:31,B,M,1,4,2,2,5,1,2,5,1,4
2017-07-12 10:17:47,2017-07-12 10:25:40,A,M,2,1,1,3,5,1,4,1,5,4
2017-07-22 20:20:14,2017-07-22 20:34:24,C,M,4,1,5,2,2,1,2,5,3,2
2017-07-10 4:46:23,2017-07-10 04:54:17,B,F,4,2,3,1,3,1,4,1,4,1
